,words,tf,idf,tfidf
401,concern,1.0,2.995732273553991,2.995732273553991
402,situationthey,1.0,2.995732273553991,2.995732273553991
403,wish,1.0,2.995732273553991,2.995732273553991
404,problemthe,1.0,2.995732273553991,2.995732273553991
405,pandemici,1.0,2.995732273553991,2.995732273553991
406,disgusting,1.0,2.995732273553991,2.995732273553991
407,conducted,1.0,2.995732273553991,2.995732273553991
408,credittheve,1.0,2.995732273553991,2.995732273553991
409,allowing,1.0,2.995732273553991,2.995732273553991
410,nowbut,1.0,2.995732273553991,2.995732273553991
411,its,1.0,2.302585092994046,2.302585092994046
412,careful,1.0,2.995732273553991,2.995732273553991
413,reason,1.0,2.995732273553991,2.995732273553991
414,saving,1.0,2.995732273553991,2.995732273553991
415,hope,2.0,2.302585092994046,4.605170185988092
416,ago,1.0,2.995732273553991,2.995732273553991
417,u,1.0,0.0,0.0
418,anyonethey,1.0,2.995732273553991,2.995732273553991
419,relief,1.0,2.995732273553991,2.995732273553991
420,couple,1.0,2.995732273553991,2.995732273553991
421,day,1.0,1.6094379124341003,1.6094379124341003
422,much,1.0,2.995732273553991,2.995732273553991
423,request,1.0,2.302585092994046,2.302585092994046
424,write,1.0,2.995732273553991,2.995732273553991
425,employee,1.0,2.995732273553991,2.995732273553991
426,free,1.0,2.995732273553991,2.995732273553991
427,late,5.0,2.302585092994046,11.51292546497023
428,supervisor,2.0,2.995732273553991,5.991464547107982
429,waived,2.0,2.995732273553991,5.991464547107982
430,2020,2.0,2.995732273553991,5.991464547107982
431,already,2.0,2.995732273553991,5.991464547107982
432,around,2.0,2.302585092994046,4.605170185988092
433,mention,1.0,2.995732273553991,2.995732273553991
434,forgot,1.0,2.995732273553991,2.995732273553991
435,valued,1.0,2.995732273553991,2.995732273553991
436,family,1.0,2.995732273553991,2.995732273553991
437,made,1.0,2.995732273553991,2.995732273553991
438,informed,1.0,2.995732273553991,2.995732273553991
439,getting,1.0,2.995732273553991,2.995732273553991
440,40,1.0,2.302585092994046,2.302585092994046
441,70115,1.0,2.995732273553991,2.995732273553991
442,appeared,1.0,2.995732273553991,2.995732273553991
443,friend,1.0,2.995732273553991,2.995732273553991
444,god,1.0,2.995732273553991,2.995732273553991
445,borrow,1.0,2.995732273553991,2.995732273553991
446,29,1.0,2.995732273553991,2.995732273553991
447,almost,1.0,2.995732273553991,2.995732273553991
448,thanks,1.0,2.995732273553991,2.995732273553991
449,am,1.0,0.5108256237659907,0.5108256237659907
450,along,1.0,2.995732273553991,2.995732273553991
451,appreciate,1.0,2.995732273553991,2.995732273553991
452,stress,1.0,2.995732273553991,2.995732273553991
453,finally,1.0,2.995732273553991,2.995732273553991
454,next,1.0,2.995732273553991,2.995732273553991
455,charged,1.0,2.995732273553991,2.995732273553991
456,learning,1.0,2.995732273553991,2.995732273553991
457,grace,1.0,2.995732273553991,2.995732273553991
458,find,1.0,2.995732273553991,2.995732273553991
459,speak,1.0,2.995732273553991,2.995732273553991
460,morning,1.0,2.995732273553991,2.995732273553991
461,waiting,1.0,2.995732273553991,2.995732273553991
